doc_id,doc_type,topic,year,issue,language,local_path,title
governance-2007-lfinma,REG_BANK,corporate_governance_internal_controls,2007,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Loi sur la surveillance des marchés financiers, LFINMA).pdf","Loi sur la surveillance des marchés financiers (LFINMA)"
other-2024-lb,REG_BANK,other,2024,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Loi sur les banques, LB.pdf","Loi sur les banques (LB)"
other-2019-oepc-finma,REG_BANK,other,2019,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Ordonnance de la FINMA sur les comptes, OEPC-FINMA.pdf","Ordonnance de la FINMA sur les comptes (OEPC-FINMA)"
other-2025-oins-finma,REG_BANK,other,2025,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Ordonnance de la FINMA sur l’insolvabilité, OIns-FINMA).pdf","Ordonnance de la FINMA sur l’insolvabilité (OIns-FINMA)"
cap-req-2012-ofr,REG_BANK,capital_requirements_framework,2012,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Ordonnance sur les fonds propres, OFR.pdf","Ordonnance sur les fonds propres (OFR)"
lcr-2012-oliq,REG_BANK,liquidity_coverage_ratio_lcr,2012,,FR,"D:\Projects\snb-rag\data\raw_pdf\(Ordonnance sur les liquidités, OLiq)1.pdf","Ordonnance sur les liquidités (OLiq)"
cap-req-2019-basel3,REG_BANK,capital_requirements_framework,2019,,EN,D:\Projects\snb-rag\data\raw_pdf\basel3_capital_requirements_framework_2019_en.pdf,"Basel III Capital Requirements Framework (2019)"
governance-2017-corporate-governance,REG_BANK,corporate_governance_internal_controls,2017,,EN,D:\Projects\snb-rag\data\raw_pdf\Corporate_governance_risk_internal_controls.pdf,"Corporate Governance, Risk and Internal Controls"
liquidity-risk-2025-liquidity-management,REG_BANK,liquidity_risk_management,2025,,EN,D:\Projects\snb-rag\data\raw_pdf\liquidity_management_risk-management_reporting.pdf,"Liquidity Management, Risk Management and Reporting"
conduct-2018-lsfin,REG_BANK,market_conduct_rules,2018,,FR,D:\Projects\snb-rag\data\raw_pdf\Loi fédérale sur les services financiers.pdf,"Loi fédérale sur les services financiers (LSFin)"
climate-risk-2026-climate-nature,REG_BANK,climate_nature_related_financial_risks,2026,,EN,D:\Projects\snb-rag\data\raw_pdf\Management_of_climate_and other_nature_related_financial_risks.pdf,"Management of Climate and Other Nature-Related Financial Risks"
op-risk-2023-operational-risks,REG_BANK,operational_risk_framework,2023,,EN,D:\Projects\snb-rag\data\raw_pdf\Managing_operational_risks_resilience.pdf,"Managing Operational Risks and Resilience"
leverage-2024-leverage-ratio,REG_BANK,leverage_ratio_rules,2024,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance de la FINMA sur le leverage ratio et les risques opérationnels des banques et des maisons de titres.pdf,"Ordonnance de la FINMA sur le leverage ratio et les risques opérationnels des banques et des maisons de titres"
cap-req-2024-portefeuille-negociation,REG_BANK,capital_requirements_framework,2024,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance de la FINMA sur le portefeuille de négociation et le portefeuille de la banque ainsi que les fonds propres pris en compte des banques et des maisons de titres.pdf,"Ordonnance de la FINMA sur le portefeuille de négociation et le portefeuille de la banque ainsi que les fonds propres pris en compte des banques et des maisons de titres"
other-2015-banques-etrangeres,REG_BANK,other,2015,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance de la FINMA sur les banques étrangères.pdf,"Ordonnance de la FINMA sur les banques étrangères"
other-2024-publication-obligations,REG_BANK,other,2024,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance de la FINMA sur les obligations des banques et des maisons de titres en matière de publication.pdf,"Ordonnance de la FINMA sur les obligations des banques et des maisons de titres en matière de publication"
credit-sa-2024-risques-credit,REG_BANK,credit_risk_standardized_approach,2024,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance de la FINMA sur les risques de crédit des banques et des maisons de titres.pdf,"Ordonnance de la FINMA sur les risques de crédit des banques et des maisons de titres"
governance-2019-ordonnance-lfinma,REG_BANK,corporate_governance_internal_controls,2019,,FR,D:\Projects\snb-rag\data\raw_pdf\Ordonnance relative à la loi sur la surveillance des marchés financiers.pdf,"Ordonnance relative à la loi sur la surveillance des marchés financiers"
other-2014-ob,REG_BANK,other,2014,,FR,"D:\Projects\snb-rag\data\raw_pdf\Ordonnance sur les banques, OB).pdf","Ordonnance sur les banques (OB)"
conduct-2025-regles-comportement,REG_BANK,market_conduct_rules,2025,,FR,D:\Projects\snb-rag\data\raw_pdf\Règles de comportement selon la LSFin et l’OSFin.pdf,"Règles de comportement selon la LSFin et l’OSFin"
conduct-2013-securities-trading,REG_BANK,market_conduct_rules,2013,,EN,D:\Projects\snb-rag\data\raw_pdf\Supervisory-rules-securities_trading.pdf,"Supervisory Rules for Securities Trading"
other-2025-surveillance-consolidee,REG_BANK,other,2025,,FR,D:\Projects\snb-rag\data\raw_pdf\Surveillance consolidée des groupes financiers selon la LB et la LEFin.pdf,"Surveillance consolidée des groupes financiers selon la LB et la LEFin"
